   program_name  constant_write  var_write  read
0    program_22              29         25   220
1     program_2              39         25   172
2    program_17              16         18   132
3    program_16              31         56    73
4    program_24              23         26    65
5    program_11              95        151   152
6     program_7              47         80    69
7     program_1              21         31    40
8    program_12               3         12   171
9    program_19              34         45   184
10   program_15              14         34     3
11   program_13              29         34   112
12    program_8              25         19   149
13   program_10               0          4    75
14    program_0              35         42   131
15   program_25               0          4    31
16    program_5              45         38   187
17    program_4              45         35   183
18   program_21              13         23    31
19   program_14               0          8    99
20   program_20              16         32     3
21   program_18              20         19   152
22   program_23              14         10   302
23    program_3              10         26    28
24    program_9              37         43    75
25    program_6              13          9    95
