  program_name  constant_write  var_write  read
0    program_2               0         16    34
1    program_7               0         33    68
2    program_1              18         13     6
3    program_8              11         44    77
4    program_0              10         10    15
5    program_5              12         50    88
6    program_4               2         20    43
7    program_3               6         37    72
8    program_9              26          0     0
9    program_6               7         12    29
