  program_name  constant_write  var_write  read
0    program_2               0          1     2
1    program_7               0          1     2
2    program_1              17          8     2
3    program_8              10         10     7
4    program_0               7          9     6
5    program_5               1          9     5
6    program_4               0          1     2
7    program_3               1          5     4
8    program_9              26          0     0
9    program_6               2          1     2
