name, constant_write, var_write, read
crc32_tab, 0, 0, 0
crc32_context, 0, 0, 0
__undefined, 0, 0, 0
g_19, 1, 1, 0
g_21, 1, 0, 1
g_30, 3, 1, 6
g_41, 0, 0, 0
g_54, 2, 0, 1
g_58, 1, 0, 6
g_72, 3, 1, 4
g_81, 2, 2, 0
g_116, 0, 1, 0
g_126, 0, 0, 0
g_156, 1, 1, 6
g_160, 0, 0, 0
g_159, 0, 0, 0
g_257, 2, 0, 0
g_472, 1, 0, 1
g_479, 0, 0, 0
g_549, 4, 1, 5
g_569, 1, 0, 5
g_576, 2, 0, 0
g_616, 0, 0, 18
g_725, 3, 1, 5
g_730, 1, 0, 1
g_761, 0, 0, 0
g_809, 1, 0, 2
g_832, 0, 1, 0
g_883, 0, 1, 0
g_1024, 0, 0, 0
g_1108, 0, 0, 1
g_1148, 0, 0, 0
g_1154, 0, 0, 0
g_1158, 1, 0, 1
g_1161, 1, 1, 1
g_1181, 3, 1, 3
g_1216, 0, 1, 0
_DYNAMIC, 0, 0, 0
_GLOBAL_OFFSET_TABLE_, 0, 0, 0
csmith_sink_, 0, 26, 0
_IO_stdin_used, 0, 0, 0
