name, constant_write, var_write, read
g_2, 4, 2, 7
g_12, 1, 4, 8
g_70, 2, 3, 7
g_79, 2, 2, 2
g_82, 0, 1, 1
g_83, 1, 1, 4
g_98, 3, 6, 2
g_112, 0, 6, 0
g_113, 1, 3, 0
g_114, 2, 1, 5
g_117, 2, 20, 1
g_119, 3, 5, 3
g_131, 3, 4, 2
g_160, 1, 2, 0
g_162, 0, 3, 0
g_165, 2, 2, 5
g_205, 4, 2, 1
g_291, 0, 0, 0
g_328, 0, 0, 3
g_338, 0, 7, 1
g_340, 2, 2, 2
g_368, 0, 3, 1
g_397, 0, 1, 8
g_443, 0, 1, 2
g_447, 1, 1, 4
g_483, 0, 0, 0
g_597, 0, 2, 1
g_670, 0, 1, 0
g_709, 2, 1, 4
g_719, 0, 1, 0
g_748, 0, 1, 0
g_762, 0, 2, 0
g_833, 0, 1, 0
g_834, 0, 2, 1
g_838, 0, 0, 4
g_885, 0, 0, 0
g_886, 0, 0, 0
g_888, 0, 0, 1
g_889, 0, 0, 2
g_943, 0, 0, 1
g_944, 0, 0, 1
g_1035, 0, 1, 2
g_1056, 1, 0, 1
g_1065, 0, 0, 0
crc32_context, 0, 8, 62
crc32_tab, 0, 0, 0
_DYNAMIC, 0, 0, 0
_GLOBAL_OFFSET_TABLE_, 0, 0, 0
_IO_stdin_used, 0, 0, 0
