var_name,constant_write,var_write,read
__abi_tag,0,0,0
completed.0,0,0,0
__do_global_dtor[...],0,0,0
__frame_dummy_in[...],0,0,0
g_16,1,0,0
g_25,2,3,29
g_26,1,3,2
g_37,0,4,7
g_118,1,3,23
g_160,1,3,1
g_165,1,3,2
g_182,2,6,16
g_191,1,6,0
g_226,2,5,1
g_231,0,1,12
g_233,1,21,12
g_263,2,26,15
g_267,0,4,0
g_289,2,1,1
g_343,0,7,5
g_493,1,0,7
g_818,1,3,9
g_828,0,0,8
g_853,0,0,7
g_867,0,1,0
g_884,0,1,1
g_885,0,1,0
g_950,0,2,0
g_951,0,1,4
__FRAME_END__,0,0,0
_DYNAMIC,0,0,0
_GLOBAL_OFFSET_TABLE_,0,0,0
csmith_sink_,0,25,0
_IO_stdin_used,0,0,0
