var_name,constant_write,var_write,read
__abi_tag,0,0,0
g_11,0,3,4
g_456,0,0,3
g_52,2,2,0
g_84,5,2,1
g_91,1,0,1
g_93,3,0,0
g_88,1,1,3
g_223,1,0,1
g_310,1,0,0
g_479,1,0,1
g_74,1,0,2
g_90,7,0,0
g_132,0,5,0
g_75,0,0,4
g_333,3,1,0
g_85,0,3,2
g_373,0,0,1
g_535,0,0,3
__PRETTY_FUNCTION__.1,0,0,0
__PRETTY_FUNCTION__.0,0,0,0
__PRETTY_FUNCTION__.2,0,0,0
__PRETTY_FUNCTION__.6,0,0,0
g_372,0,0,0
completed.0,0,0,0
__do_global_dtor[...],0,0,0
__frame_dummy_in[...],0,0,0
__FRAME_END__,0,0,0
_DYNAMIC,0,0,0
_GLOBAL_OFFSET_TABLE_,0,0,0
csmith_sink_,3,10,0
_IO_stdin_used,0,0,0
