      program_name  constant_write  var_write  read
0      program_502               0          0     0
1     program_6761               0          0     0
2     program_2073              25          0     0
3      program_700              25         13     3
4     program_7199              32         16     3
5     program_4023              11          0     5
6     program_3267              26          0     0
7     program_9475              10          2     3
8      program_267               6          4     2
9     program_4221               0          0     0
10     program_530               0          0     0
11     program_654               0          0     0
12    program_1098               7          4     1
13    program_7174              33         42    11
14     program_189               0          0     0
15    program_3092              24          0     0
16    program_4056              23         32    10
17    program_7304               0          0     0
18    program_3374               0          0     0
19    program_9668              13          1     0
20    program_1889              28         10     3
21    program_3761               0          0     0
22    program_6316              22         10     0
23    program_4614               0          0     0
24     program_746              34         28    13
25    program_7800              15          0     1
26    program_5545               7          0     1
27    program_2577              10          1     3
28    program_1682               0          0     0
29    program_4664              43          8     7
30    program_6477               9          7     3
31    program_8169               0          0     0
32      program_35               0          0     0
33    program_4407               0          0     0
34    program_5419              68         62    19
35      program_81               0          0     0
36    program_1708              46         18     5
37    program_7292               2          1     2
38    program_8595              44         21    12
39    program_1299               0          0     0
40    program_5839               3          8     4
41    program_1554               0          0     0
42    program_8045              92          0     0
43    program_6639               8          0     0
44    program_4310               0          0     0
45    program_4476               0          0     0
46    program_8974               0          0     0
47    program_3195               0          0     0
48    program_1705              23         59     3
49    program_5003               0          0     0
50    program_1650              33         27     6
51    program_1799              60         27     5
52    program_9575               0          0     0
53    program_3414               0          0     0
54    program_9006              36         30    13
55    program_9607              19          0     0
56    program_4864              18         10     3
57    program_3920               0          0     0
58    program_7434               0          0     0
59    program_5718              17          0     0
60    program_9087               0          0     0
61    program_8998              31         38    16
62    program_8310               0          0     0
63    program_5582               0          0     0
64    program_3899               0          0     0
65    program_4990               0          0     0
66    program_6031               0          0     0
67     program_196               0          0     0
68    program_6099               0          0     0
69    program_9085               6          1     0
70    program_9609              19         28     7
71    program_8424              50          0     0
72     program_547              13          3     1
73    program_6191              39          7     1
74    program_1337              14         10     0
75    program_6315              34         18     9
76    program_7435               0          0     0
77    program_3314               0          0     0
78    program_9077               0          0     0
79    program_7543               4          4     3
80    program_1455              50         24    22
81    program_9187               0          0     0
82    program_3421              40         11    39
83    program_5336              25          0     0
84    program_8787              25          6    11
85    program_9936              14          5     0
86     program_941               0          0     0
87    program_1320               0          0     0
88    program_5382              13         10    29
89    program_5659              36         52    13
90    program_8164              50         10     7
91    program_8767               0          0     0
92    program_9568              17         21     0
93    program_1779               0          0     0
94    program_1334              12          3     2
95    program_4643               0          0     0
96    program_6054              20         15     6
97     program_150               0          0     0
98    program_9293               0          0     0
99    program_2762               7          0     0
100   program_7141               0          0     0
101   program_9397               0          0     0
102   program_5089              22          1     0
103   program_7424               0          0     0
104   program_5242               0          0     0
105   program_3250               0          0     0
106   program_2623               0          0     0
107   program_6602              15          8    13
108   program_9474              67         37    23
109     program_55              44         40    15
110   program_7024              47         38    10
111   program_5305               0          0     0
112   program_1769              46         48    27
113   program_2736               0          0     0
114   program_6820              46         23    29
115   program_8245              18          3     0
116   program_1398               0          0     0
117   program_9659              14          3     2
118   program_8434               0          0     0
119   program_7440              49          3     0
120   program_3080               0          0     0
121   program_5840              30          7     1
122   program_5135              39         23    11
123   program_9420              13         11     7
124   program_8447               0          0     0
125   program_7242              24          6     1
126     program_67               0          0     0
127   program_2733              52         34    22
128   program_2168               6          2     1
129   program_4153              22          8    12
130   program_2565              52         45    13
131   program_5199              39         12     8
132   program_7049               0          0     0
133   program_8561              46         15    10
134   program_9700               0          0     0
135    program_947              36          2     1
136    program_634              33         11     0
137   program_6822              68         21     4
138   program_4713              47         44    10
