      program_name  constant_write  var_write  read
0     program_5167               0          0     0
1      program_455               0          0     0
2     program_7584              16          7     3
3     program_2769              15          3     0
4     program_3284               0          0     0
5     program_8517               0          0     0
6     program_6627               0          0     0
7     program_4402               0          0     0
8     program_1548               7          1     4
9     program_2304              15          1     0
10     program_484               0          0     0
11     program_380               0          0     0
12    program_2808               0          0     0
13    program_2879               0          0     0
14    program_7357              10          3    12
15    program_1215              26          3     2
16    program_1957               0          0     0
17    program_8786              25         33    20
18    program_4346              13         10    16
19    program_1979               0          0     0
20    program_9683               0          0     0
21    program_6779              86          0     0
22    program_3521               0          0     0
23    program_2781              10          1     3
24    program_5372              65          1     2
25    program_2442              23          5    17
26    program_4113               3          2     3
27    program_8322               0          0     0
28    program_1626               0          0     0
29    program_7590              26          0     0
30    program_1712               0          0     0
31    program_6570             290          5     0
32    program_5270              62         30     6
33    program_7193               0          0     0
34    program_9554              25         32    10
35    program_3601               0          0     0
36    program_7043               0          0     0
37    program_3499              18         13    18
38    program_3822               0          0     0
39    program_7056               0          0     0
40    program_8284              21         18     4
41     program_830              32          0     0
42    program_6927              21          2     0
43    program_1076               0          0     0
44    program_9404              12          2     0
45    program_3550               0          0     0
46    program_9151              30         16    10
47     program_250               0          0     0
48    program_2723               5          0     0
49     program_659              41          7    11
50    program_5038               0          0     0
51    program_6338               0          0     0
52    program_2883              36          5     1
53    program_3481               0          0     0
54    program_2223              33         23    17
55    program_1144               0          0     0
56     program_569               0          0     0
57    program_7176              74         43    11
58    program_2783              33        118    10
59    program_3716               5          0     0
60    program_9607              19          0     0
61    program_2880              84         31    14
62    program_7962              51         47     0
63    program_6722               0          0     0
64     program_843               0          0     0
65    program_9600              12         12    25
66    program_9743               0          0     0
67    program_6728              23         15     4
68    program_7105               0          0     0
69    program_5770              31          8     0
70    program_3993               0          0     0
71    program_7116               0          0     0
72    program_9929               0          0     0
73    program_2834              46         10     8
74    program_5751              17          2     0
75    program_5020               0          0     0
76    program_4236              53         60     6
77    program_6569               0          0     0
78    program_6270              18          0     0
79    program_2775              52         64    14
80    program_9252               0          0     0
81    program_2053              32          4     5
82    program_4749               0          0     0
83    program_3494              36          8     3
84    program_3259               0          0     0
85    program_6496              13          8     0
86    program_7793              24          6    10
87    program_9714               0          0     0
88    program_9899               0          0     0
89    program_8338               0          0     0
90    program_1914              10          0     0
91    program_3180               0          0     0
92    program_3792              65         26     8
93    program_9364               0          0     0
94    program_6486               0          0     0
95    program_3894               0          0     0
96    program_9965               0          0     0
97    program_6710               0          0     0
98    program_9062              26          8     3
99    program_4280              71         40    12
100   program_9776             100          0     0
101   program_7926              24         16    11
102   program_8200               0          0     0
103   program_1098               8          2     1
104    program_501              13         19    11
105   program_8961               0          0     0
106   program_3659              43         32     9
107   program_4812               0          0     0
108   program_6006               0          0     0
109   program_7477               0          0     2
110   program_5178               0          0     0
111   program_9955              20          4     0
112   program_4732              71         28     2
113   program_9040               9          2    16
114   program_3229              24         23     3
115   program_5704               0          0     0
116   program_2657              22          0     0
117   program_1280              34         43     2
118   program_9316               0          0     0
119   program_6436               0          0     0
120   program_1617               0          0     0
121   program_3980              22          9     1
122   program_4336               0          0     0
123    program_343               0          0     0
124   program_2115               0          0     0
125   program_3364               0          0     0
126   program_6816               0          0     0
127   program_7028               0          0     0
128   program_6842               0          0     0
129   program_9203               0          0     0
130   program_7324              69         43    28
131   program_8507              16          2     0
132   program_3996               0          0     0
133   program_3359               4          9     0
