      program_name  constant_write  var_write  read
0      program_502               0          0     0
1     program_6761               0          0     0
2     program_2073              25          0     0
3      program_700              14          4     1
4     program_7199              84          0     0
5     program_4023               6          0     0
6     program_3267              25          0     0
7     program_9475               5          0     0
8      program_267               6          2     1
9     program_4221               0          0     0
10     program_530               0          0     0
11     program_654               0          0     0
12    program_1098               7          0     0
13    program_7174              24          2     1
14     program_189               0          0     0
15    program_3092              24          0     0
16    program_4056              10         17     8
17    program_7304               0          0     0
18    program_3374               0          0     0
19    program_9668               9          1     0
20    program_1889              27          6     2
21    program_3761               0          0     0
22    program_6316              22         10     0
23    program_4614               0          0     0
24     program_746              36         40    13
25    program_7800              12          0     0
26    program_5545               3          5    30
27    program_2577              10          0     0
28    program_1682               0          0     0
29    program_4664              29          4     3
30    program_6477               3          9     2
31    program_8169               0          0     0
32      program_35               0          0     0
33    program_4407               0          0     0
34    program_5419              46         47     8
35      program_81               0          0     0
36    program_1708              28         10     5
37    program_7292               3          0     0
38    program_8595              24          6     4
39    program_1299               0          0     0
40    program_5839              23          0     0
41    program_1554               0          0     0
42    program_8045              92          0     0
43    program_6639               5          0     0
44    program_4310               0          0     0
45    program_4476               0          0     0
46    program_6827               2          0     4
47    program_8974               0          0     0
48    program_3195               0          0     0
49    program_1705              63         12     1
50    program_5003               0          0     0
51    program_1650              25          1     1
52    program_1799              91         16     1
53    program_9575               0          0     0
54    program_3414               0          0     0
55    program_9006              25          1     0
56    program_9607              14          0     0
57    program_4864              23          0     0
58    program_3920               0          0     0
59    program_7434               0          0     0
60    program_5718              17          0     0
61    program_9087               0          0     0
62    program_8998              38          0     0
63    program_8310               0          0     0
64    program_5582               0          0     0
65    program_3899               0          0     0
66    program_4990               0          0     0
67    program_6031               0          0     0
68     program_196               0          0     0
69    program_6099               0          0     0
70    program_9085               6          1     0
71    program_9609              51        240     1
72    program_8424              50          0     0
73     program_547              11          2     0
74    program_6191              42          2     0
75    program_1337              69        239     1
76    program_6315              28          0     0
77    program_7435               0          0     0
78    program_3314               0          0     0
79    program_9077               0          0     0
80    program_7543               6          1     1
81    program_1455              46         29    28
82    program_9187               0          0     0
83    program_3421              18          6     1
84    program_5336              25          0     0
85    program_9936              75          0     0
86     program_941               0          0     0
87    program_1320               0          0     0
88    program_5382             389       1138  1106
89    program_5659               3          0     2
90    program_8164              55          2     3
91    program_8767               0          0     0
92    program_9568             253         58     1
93    program_1779               0          0     0
94    program_1334              13          0     0
95    program_4643               0          0     0
96    program_6054              17         13     3
97     program_150               0          0     0
98    program_9293               0          0     0
99    program_2762               6          0     0
100   program_7141               0          0     0
101   program_9397               0          0     0
102   program_5089              15          0     0
103   program_7424               0          0     0
104   program_5242               0          0     0
105   program_3250               0          0     0
106   program_2623               0          0     0
107   program_6602              12         14     8
108   program_9474             187        106    80
109     program_55              62         26     7
110   program_7024              25          4     1
111   program_5305               0          0     0
112   program_1769              51         17     7
113   program_2736               0          0     0
114   program_6820              24          4     3
115   program_8245              14          0     0
116   program_1398               0          0     0
117   program_9659               8          1     3
118   program_8434               0          0     0
119   program_7440              34          0     0
120   program_3080               0          0     0
121   program_5840              24          6     0
122   program_5135              46         17     6
123   program_9420              23          0     0
124   program_8447               0          0     0
125   program_7242              22          5     0
126     program_67               0          0     0
127   program_2733              59         29    11
128   program_2168               5          2     1
129   program_4153              15          3     8
130   program_2565              72        100    11
131   program_5199              20          0     0
132   program_7049               0          0     0
133   program_8561              34         16     9
134   program_9700               0          0     0
135    program_947              38          0     0
136    program_634              26         11     0
137   program_6822              82          3     5
138   program_4713              98        112    13
