      program_name  constant_write  var_write  read
0     program_5167               0         64     2
1      program_455               0         79     2
2     program_7584              19         10     6
3     program_2769              12          3     0
4     program_3284               1         65     2
5     program_8517               0         32     2
6     program_6627               1        166     5
7     program_4402               0        206     2
8     program_1548               4          2     0
9     program_2304              13          0     0
10     program_484               4         12     8
11     program_380               7        478     3
12    program_2808               0        108     2
13    program_2879               3        330     5
14    program_7357               9          4     6
15    program_1215              23          2     0
16    program_1957              10        176    13
17    program_8786              33         35    20
18    program_4346               7          4     5
19    program_1979               4        249     5
20    program_9683               0        213     2
21    program_6779              25         12     5
22    program_3521               8        129    29
23    program_2781              19          4     3
24    program_5372              10          8     3
25    program_2442              19          6     0
26    program_4113               4          1     2
27    program_8322               3         98     5
28    program_1626               0         42     5
29    program_7590              26          0     0
30    program_1712               0         66     2
31    program_6570              13         17     4
32    program_5270              65         33    20
33    program_7193               5         50    13
34    program_9554              41         24     6
35    program_3601               0        163     2
36    program_7043               3         33     7
37    program_3499              10         12    26
38    program_3822               5        109    10
39    program_7056               0         39     2
40    program_8284              21          1     0
41     program_830              26          0     0
42    program_6927              21          0     0
43    program_1076               0        241    10
44    program_9404               9          2     0
45    program_3550               0        111     2
46    program_9151              55         21    15
47     program_250               5         31    21
48    program_2723               5          0     0
49     program_659              39         12     7
50    program_5038               0        224     2
51    program_6338               0        152     2
52    program_2883              31          2     0
53    program_3481               7        275    10
54    program_2223              23          4     3
55    program_1144               2        283     4
56     program_569               0        112     2
57    program_7176             113         32    15
58    program_2783              40         31     5
59    program_3716               4          0     0
60    program_9607              14          1     0
61    program_2880              50          4     3
62    program_7962              14         11     3
63    program_6722              10        197     8
64     program_843               0        121     2
65    program_9600              30         15    17
66    program_9743               6         67    15
67    program_6728              46         20     6
68    program_7105               5        360     6
69    program_5770              31          8     0
70    program_3993               0         36     3
71    program_7116               0         48     2
72    program_9929               0          8     2
73    program_2834              23          3     5
74    program_5751              17          2     0
75    program_5020               0         29     4
76    program_4236              57         29    10
77    program_6569               2        407     5
78    program_6270              17          0     0
79    program_2775              50         59    20
80    program_9252               3        216     3
81    program_2053              24          3     4
82    program_4749               0         40     2
83    program_3494              34          7     6
84    program_3259               1        103     3
85    program_6496              13          8     0
86    program_7793              19          4    15
87    program_9714               0          0     2
88    program_9899              11        105     6
89    program_8338               0         39     2
90    program_1914               9          0     0
91    program_3180               0         84     3
92    program_3792              32         18     7
93    program_9364               1         60     5
94    program_6486               1         81     2
95    program_3894               3         74    13
96    program_9965               1        292     3
97    program_6710               8        210     9
98    program_9062              17          4     0
99    program_4280              24         13     2
100   program_9776              21          6     2
101   program_7926              19         18     9
102   program_8200               7         50    13
103   program_1098               7          0     0
104    program_501              25          0     0
105   program_8961               7         78    18
106   program_3659              25          6     2
107   program_4812               1         21     6
108   program_6006               2         44     3
109   program_7477              20         20     6
110   program_5178               0        121     2
111   program_9955              20          4     0
112   program_4732              28          2     0
113   program_9040               9          5    12
114   program_3229              15          7     0
115   program_5704               0         12     7
116   program_2657              22          0     0
117   program_1280              25         10     3
118   program_9316               0         48     2
119   program_6436               0        111     2
120   program_1617               0         16     2
121   program_3980              17          6     0
122   program_4336               0        140     9
123    program_343               3        132     9
124   program_2115               7        191    13
125   program_3364               0        124     2
126   program_6816               0         56     2
127   program_7028               0          8     2
128   program_6842               1          9     2
129   program_4203              80         22     4
130   program_9203               0        289     3
131   program_7324              53         58    28
132   program_8507              16          2     0
133   program_3996               0        226     2
134   program_3359               3          3     1
135   program_7978               0        200     5
136   program_4482              17          3     0
137   program_2182               0          4     4
138   program_7885              57        202    52
139   program_1912               0         16     2
140   program_9277              30         12     0
141   program_5063              15          7     3
142   program_3974              66         37     9
143   program_6001              31          8     3
144   program_7391               7          0     0
145   program_3483               0        134     2
146   program_3018              12         59    12
147   program_9952              11          0     0
148   program_7884              43          7     0
149   program_3091               0        152     2
150   program_2537               0          0     4
151   program_5007              14          6     4
152   program_5598              11          0     0
153   program_1514               7        233    10
154   program_5257              40          8     2
155   program_2550              31        822    24
156   program_9118               3         71     2
157   program_2446               1         80     3
158   program_3988              14         29    18
159   program_9070               4          0     0
160   program_4184               0        143     2
161   program_8074              19        255    29
162   program_7196               0        159     2
163   program_5168              29        184    24
164   program_5172               0         23     2
165     program_29               0         63     2
166   program_1140               7         61    16
167     program_43               0        216     2
168   program_2509               2        152     5
169   program_6281               7         18    47
170   program_2465              59         36    16
171    program_174               0        120     2
172    program_876               3        126     4
173   program_6278              37        188    35
174   program_5351             134        138    95
175   program_9269              13        215    45
176   program_6238              31          4     1
177    program_219               0         88     2
178   program_9390              30         24    18
179   program_2589               0         94     2
180   program_1572              17         12     2
181   program_7267              34        271    20
182   program_6271              21         33    31
183   program_3123              24          0     0
184   program_1574              15          2     0
185   program_4299               0         71     2
186   program_3507               7          2     1
187   program_7112               3         30     6
188   program_7158               7        241     4
189   program_7752               2        166     5
190   program_8926              41          3     2
191   program_9186               6         40    56
192   program_1194               7         58    27
193   program_8774               0         60     2
194    program_816               7        241    10
195   program_4145              19          0     0
196   program_6522               6          2     0
197   program_1257               0         55     4
198   program_3233               1          7     7
199   program_6385               2         21     3
200   program_4633               0        206     2
201   program_9323              29         27    11
202   program_6494               0         15     2
203   program_5426              28         25     9
204   program_8249               6         11    12
205   program_3665              16         14     7
206   program_3103               9          0     0
207   program_4374              10          0     0
208   program_4181              17         26     4
209   program_7738              21         15     5
210   program_9814              50          9     5
211   program_6777               4        170     4
212   program_5895               1         83     2
213   program_6974               5        145     4
214    program_345              14         11     4
215   program_3112               4        311     9
216   program_6701               5         50    12
217   program_8969              15         24    24
218   program_8253              28          7     7
219   program_5675              37         26    53
220   program_9127              25          6     2
221   program_5093              53         17     8
222   program_2203              48          9     4
223   program_4979               7         67    14
224   program_3478              18          0     0
225   program_1720              51          0     0
226   program_5029              28         20    10
227   program_9641              19          1     0
228   program_6537              14          0     0
229   program_9928               5         59     6
230   program_1916               8        220     6
231   program_4876              11        185    11
232   program_5231              32          4     1
233   program_6482               9         13    21
234   program_5380               2         82     3
235   program_2884              41         29    16
236   program_7117               3         47    13
237   program_8957               0         24     4
238   program_9052               2        134     7
239   program_1892              21          0     0
240   program_9289               8        163     4
241   program_7045               2        182     3
242   program_9414               1         62    13
243   program_7713               0         84     5
244   program_3741              49          9     5
245   program_7055               5          0     0
246   program_4612               0         58     5
247   program_2687               7          5     5
248   program_5314               4        591    18
249   program_2410              19          0     0
250   program_3814              18        549    47
251   program_2973               1        149    11
252   program_6889              26        288    15
253   program_1073               6          0     0
254   program_7513               2        135     5
255   program_5923              11        422     6
256   program_1234               7         74    13
257   program_8313               1         98     6
258   program_6876               0         56     2
259   program_3863               3         94     5
260   program_1091              26          6     5
261   program_6632               8        141    28
262   program_7020               0        118     2
263   program_4395              39          6     3
264   program_1567              26        140    22
265   program_9054              63         41    14
266   program_7623              24         28    26
267    program_869               0         48     2
268   program_1840               3         33     9
269   program_2982              23        410    15
270   program_8525              25         11     8
271   program_1327              17          3     0
272    program_877               7          0     0
273    program_571               0         16     2
274   program_1958               5         75     9
275   program_2240               6        405    17
276   program_9049               0         28     2
277   program_1213              36          0     0
278   program_9221              23          4     2
279   program_1986              87         68    19
280   program_6322              11        379    31
281   program_7992              18          4     0
282   program_9028               2        225     2
283   program_3126              12          0     0
284   program_8809               0        175     2
285   program_8398              21         15     7
286   program_6468              21          1     1
287   program_4759               2         18     3
288   program_4287               7         27    10
289   program_1740               0         90     2
290   program_5057               3          3     2
291   program_2888               1        270     2
292   program_2529               3         68     2
293    program_661              24         23    51
294   program_3523               2        174     5
295   program_7455              25          4     2
296   program_2180              21          4    10
297   program_2869               1         76     2
298   program_5763              19          7     1
299   program_7606               0         32     3
300   program_1650              27          1     1
301   program_1891               4          0     0
302   program_6870               1        116    18
303   program_8777              10          0     0
304   program_7599               1        137     3
305   program_7767              23          4     0
306    program_496              38          8     2
307   program_9080               0        107     2
308   program_8744              13         13     6
309   program_4844              14          4     1
310   program_6051               9        169    16
311   program_4724               0         94     2
312   program_5614              41          4     0
313   program_8838              28         19     9
314   program_3748               0         16     2
315   program_1853              30         15     6
316   program_7804               0         80     2
317   program_1864              35          4     0
318   program_8634               0         52     2
319   program_2628              23          9     3
