,GCC_O0,GCC_O1,GCC_O2,GCC_O3,LLVM_O0,LLVM_O1,LLVM_O2,LLVM_O3
0,"{'nodes': 127, 'edges': 214}","{'nodes': 126, 'edges': 220}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 128, 'edges': 214}","{'nodes': 16, 'edges': 21}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
1,"{'nodes': 619, 'edges': 952}","{'nodes': 132, 'edges': 235}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 596, 'edges': 916}","{'nodes': 17, 'edges': 22}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
2,"{'nodes': 1269, 'edges': 1970}","{'nodes': 19, 'edges': 26}","{'nodes': 12, 'edges': 15}","{'nodes': 12, 'edges': 15}","{'nodes': 1240, 'edges': 1926}","{'nodes': 15, 'edges': 20}","{'nodes': 16, 'edges': 20}","{'nodes': 16, 'edges': 20}"
3,"{'nodes': 744, 'edges': 1147}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 2851, 'edges': 4389}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
4,"{'nodes': 2827, 'edges': 4395}","{'nodes': 149, 'edges': 264}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 2934, 'edges': 4536}","{'nodes': 16, 'edges': 21}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
5,"{'nodes': 136, 'edges': 222}","{'nodes': 78, 'edges': 132}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 135, 'edges': 218}","{'nodes': 15, 'edges': 20}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
6,"{'nodes': 349, 'edges': 570}","{'nodes': 375, 'edges': 697}","{'nodes': 6, 'edges': 5}","{'nodes': 6, 'edges': 5}","{'nodes': 388, 'edges': 621}","{'nodes': 31, 'edges': 46}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
7,"{'nodes': 1756, 'edges': 2760}","{'nodes': 294, 'edges': 543}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 1878, 'edges': 2989}","{'nodes': 23, 'edges': 28}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
8,"{'nodes': 618, 'edges': 939}","{'nodes': 11, 'edges': 14}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 758, 'edges': 1146}","{'nodes': 11, 'edges': 14}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
9,"{'nodes': 1437, 'edges': 2229}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 2649, 'edges': 4193}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
