,GCC_O0,GCC_O1,GCC_O2,GCC_O3,LLVM_O0,LLVM_O1,LLVM_O2,LLVM_O3
0,36,10,10,10,29,10,10,10
1,22,13,12,12,21,10,10,10
2,23,19,19,19,20,12,10,10
3,27,12,12,12,23,9,9,9
4,30,24,23,23,29,12,12,12
5,32,12,10,10,21,10,10,10
6,68,26,26,26,63,16,14,14
7,38,15,15,15,37,12,12,12
8,26,16,15,15,21,10,10,10
9,25,13,13,13,22,9,9,9
10,17,13,13,13,16,13,13,13
11,30,14,14,14,29,15,13,13
12,40,11,11,11,32,10,10,10
13,46,21,18,18,40,17,16,16
14,32,23,23,23,22,13,13,13
15,40,18,15,16,37,10,10,10
16,61,41,40,40,47,28,21,20
17,57,34,34,34,43,24,18,18
18,33,20,20,19,24,13,13,13
19,56,37,36,36,55,21,17,17
20,39,12,12,12,38,10,10,10
21,64,11,11,10,45,14,9,9
22,28,24,21,21,27,18,18,18
23,25,17,16,16,22,13,10,10
24,41,14,14,13,27,12,9,9
25,64,16,16,15,42,14,9,9
26,24,15,15,15,17,11,11,11
27,31,20,20,20,27,14,14,14
28,37,20,20,20,35,13,12,12
29,67,9,9,9,40,9,9,9
30,30,10,10,10,29,10,10,10
31,43,13,13,11,32,14,10,10
32,54,31,31,31,47,26,21,21
33,36,25,22,22,30,16,15,15
34,40,24,22,22,32,16,16,16
35,65,14,14,14,36,11,11,11
36,30,19,19,19,24,14,14,14
37,32,24,24,24,20,14,14,14
38,77,37,36,36,60,20,20,20
39,23,20,12,12,22,10,10,10
40,34,17,17,17,31,13,11,11
41,38,27,15,15,35,9,9,9
42,46,10,10,10,33,9,9,9
43,50,23,23,22,44,14,14,14
44,23,12,12,12,20,9,9,9
45,26,20,20,20,25,10,10,10
46,55,25,24,23,51,19,18,18
47,32,25,23,22,24,16,16,16
48,26,11,9,9,16,9,9,9
49,34,25,25,25,31,17,15,15
50,62,18,18,18,48,10,10,10
51,33,14,14,12,32,10,10,10
52,60,23,23,23,57,10,10,10
53,47,38,33,33,44,20,12,12
54,57,24,24,24,52,13,11,11
55,58,44,39,39,57,16,13,13
56,29,16,10,10,28,10,10,10
57,62,34,29,29,59,23,22,22
58,40,23,22,22,37,16,15,15
59,25,17,10,10,17,9,9,9
60,27,14,14,14,23,10,9,9
61,66,44,26,26,63,13,12,12
62,31,13,13,12,28,12,9,9
63,61,26,24,24,53,16,14,14
64,43,27,19,19,42,11,11,11
65,40,32,29,29,31,16,16,16
66,40,30,30,30,38,24,24,24
67,31,24,21,21,28,16,12,12
68,26,17,17,17,25,16,12,12
69,52,27,9,9,48,9,9,9
70,30,13,13,13,25,11,10,10
71,18,13,10,10,17,10,10,10
72,25,15,15,15,18,10,10,10
73,46,29,25,25,42,17,14,14
74,45,11,10,10,36,10,10,10
75,41,13,13,13,32,12,10,10
76,46,35,32,32,43,21,16,16
77,30,18,17,17,26,16,14,14
78,43,10,10,10,26,9,9,9
